Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
envelope,pinwheel,warplane,coil,wing,book_jacket,balloon,carton,umbrella
envelope,carton,pinwheel,umbrella,coil,web_site,binder,rule,packet
umbrella,coil,carton,balloon,envelope,bannister,packet,birdhouse,harvester
coil,carton,envelope,pinwheel,umbrella,wing,paddlewheel,projectile,harvester
coil,bannister,envelope,umbrella,carton,pinwheel,window_shade,packet,ashcan
umbrella,pinwheel,envelope,carton,pencil_sharpener,coil,matchstick,stupa,packet
envelope,coil,binder,umbrella,pinwheel,bannister,web_site,cinema,carton
web_site,envelope,pug,Band_Aid,crossword_puzzle,tray,Windsor_tie,scoreboard,vizsla
space_heater,binder,modem,microwave,bathtub,washer,measuring_cup,water_jug,refrigerator
gown,jean,marimba,web_site,menu,pajama,bikini,bookshop,mountain_bike
binder,desktop_computer,envelope,rule,modem,laptop,remote_control,perfume,notebook
digital_clock,envelope,radio,analog_clock,binder,modem,magnetic_compass,notebook,loudspeaker
envelope,binder,wallet,carton,rule,paintbrush,packet,cleaver,handkerchief
desk,web_site,desktop_computer,monitor,espresso_maker,loudspeaker,analog_clock,table_lamp,toaster
web_site,monitor,desktop_computer,screen,television,notebook,laptop,home_theater,computer_keyboard
notebook,laptop,cellular_telephone,face_powder,projector,sunglasses,carton,web_site,bathtub
laptop,notebook,computer_keyboard,monitor,web_site,jigsaw_puzzle,mouse,screen,desktop_computer
web_site,dishwasher,toaster,iron,envelope,washer,printer,hair_slide,photocopier
notebook,studio_couch,laptop,grand_piano,bookcase,quilt,entertainment_center,library,desk
laptop,notebook,accordion,harmonica,computer_keyboard,stage,space_bar,desktop_computer,upright
bow_tie,suit,jean,crutch,groom,sunglasses,gown,Loafer,Windsor_tie
lens_cap,car_wheel,washer,microwave,sunglass,car_mirror,window_screen,face_powder,crash_helmet
web_site,envelope,jersey,hair_spray,abaya,cleaver,menu,lipstick,hair_slide
laptop,monitor,desktop_computer,notebook,screen,stage,mouse,desk,home_theater
web_site,menu,book_jacket,laptop,comic_book,wall_clock,envelope,analog_clock,brass
carton,notebook,studio_couch,desk,handkerchief,wardrobe,pajama,lab_coat,rocking_chair
bookcase,medicine_chest,envelope,library,web_site,file,bookshop,wardrobe,desk
notebook,laptop,cleaver,web_site,desk,ping-pong_ball,monitor,cellular_telephone,iPod
desk,bookcase,library,notebook,file,plate_rack,laptop,entertainment_center,refrigerator
balance_beam,hair_spray,ping-pong_ball,dumbbell,carton,wall_clock,shower_curtain,groom,ice_lolly
suit,Windsor_tie,Loafer,bow_tie,trench_coat,jean,cardigan,miniskirt,Bouvier_des_Flandres
miniskirt,overskirt,grand_piano,notebook,accordion,apron,window_shade,jean,flute
CD_player,desktop_computer,modem,hard_disc,monitor,radio,tape_player,screen,cassette_player
miniskirt,overskirt,hoopskirt,pajama,fur_coat,trench_coat,velvet,gown,feather_boa
laptop,notebook,dishwasher,envelope,refrigerator,monitor,photocopier,web_site,printer
trench_coat,fur_coat,mailbag,cellular_telephone,miniskirt,carton,sombrero,backpack,bow_tie
notebook,laptop,desk,mouse,monitor,desktop_computer,screen,computer_keyboard,modem
vase,sea_anemone,candle,toilet_tissue,swab,stinkhorn,hook,pillow,tray
cleaver,tray,crossword_puzzle,notebook,envelope,running_shoe,quill,hotdog,cup
notebook,laptop,computer_keyboard,mouse,crossword_puzzle,desk,iPod,space_bar,modem
altar,church,jigsaw_puzzle,castle,cab,street_sign,analog_clock,monastery,bell_cote
menu,brass,screen,book_jacket,gas_pump,cash_machine,loudspeaker,web_site,CD_player
web_site,desktop_computer,screen,monitor,desk,umbrella,laptop,notebook,comic_book
envelope,cleaver,rule,laptop,Band_Aid,wallet,binder,shovel,letter_opener
television,home_theater,desktop_computer,screen,monitor,web_site,desk,sock,entertainment_center
web_site,book_jacket,brass,lighter,oscilloscope,laptop,perfume,monitor,packet
web_site,book_jacket,lighter,brass,perfume,oscilloscope,Polaroid_camera,menu,binder
miniskirt,feather_boa,fur_coat,sunglasses,cowboy_boot,cowboy_hat,suit,sunglass,hoopskirt
whistle,web_site,comic_book,envelope,jersey,bell_cote,apron,Band_Aid,lighter
desktop_computer,monitor,desk,screen,radio,printer,upright,loudspeaker,modem
web_site,cash_machine,desktop_computer,water_jug,desk,water_bottle,refrigerator,monitor,vending_machine
radiator,ashcan,organ,forklift,refrigerator,library,washbasin,folding_chair,television
web_site,liner,projector,missile,envelope,screen,amphibian,warplane,electric_fan
switch,padlock,hook,safety_pin,combination_lock,paper_towel,can_opener,corkscrew,pick
web_site,dishwasher,potter's_wheel,washbasin,iron,toilet_seat,soap_dispenser,desktop_computer,medicine_chest
safety_pin,mailbag,envelope,buckle,wallet,chain,necklace,abaya,jean
notebook,laptop,harp,web_site,desktop_computer,grand_piano,monitor,desk,gown
abaya,notebook,grand_piano,web_site,gown,guillotine,pajama,breastplate,desk
desk,desktop_computer,screen,web_site,monitor,television,notebook,loudspeaker,printer
web_site,bakery,plane,honeycomb,book_jacket,lumbermill,lab_coat,desk,barbershop
flute,oboe,bell_cote,bookshop,abaya,miniskirt,jean,groom,stole
bookshop,notebook,web_site,projector,potter's_wheel,library,comic_book,book_jacket,grand_piano
microphone,envelope,web_site,space_heater,hand_blower,electric_fan,iron,book_jacket,notebook
desktop_computer,computer_keyboard,printer,mouse,desk,modem,remote_control,monitor,home_theater
groom,gown,brassiere,mask,hoopskirt,teddy,cellular_telephone,seat_belt,cowboy_hat
web_site,harmonica,wig,book_jacket,microphone,lighter,chain_mail,television,fur_coat
groom,cleaver,lab_coat,carton,toilet_tissue,notebook,gown,envelope,pillow
refrigerator,space_heater,microwave,binder,dishwasher,washer,desktop_computer,toaster,safe
web_site,lens_cap,crash_helmet,reflex_camera,loudspeaker,microphone,analog_clock,perfume,monitor
bubble,web_site,nematode,sax,loupe,cornet,hook,sunglasses,lighter
web_site,jersey,envelope,umbrella,sweatshirt,carton,comic_book,laptop,printer
web_site,envelope,honeycomb,carton,screen,digital_clock,starfish,perfume,analog_clock
web_site,electric_fan,spotlight,shovel,iron,table_lamp,hook,dishwasher,sewing_machine
teddy,wine_bottle,lighter,kimono,binoculars,cup,soap_dispenser,corn,pot
sandal,book_jacket,knot,abaya,mailbag,perfume,web_site,bolo_tie,buckle
perfume,monitor,web_site,printer,sunscreen,cellular_telephone,refrigerator,packet,remote_control
cash_machine,screen,monitor,desktop_computer,vending_machine,television,projector,washbasin,printer
web_site,hook,table_lamp,toaster,quill,desk,tripod,sewing_machine,envelope
pot,face_powder,lotion,mixing_bowl,buckle,bib,tray,soup_bowl,cup
envelope,cleaver,letter_opener,hard_disc,binder,rule,carton,notebook,ballpoint
desk,face_powder,lotion,lipstick,perfume,wardrobe,binder,dining_table,buckle
monitor,table_lamp,desk,desktop_computer,screen,lampshade,grand_piano,spotlight,television
web_site,book_jacket,loudspeaker,digital_clock,caldron,packet,brass,cinema,lens_cap
web_site,book_jacket,television,comic_book,monitor,stage,screen,jigsaw_puzzle,cellular_telephone
gown,hoopskirt,overskirt,web_site,jean,iron,groom,sunglasses,apron
book_jacket,barbershop,jersey,doormat,ashcan,cash_machine,hair_spray,puck,chainlink_fence
comic_book,web_site,toyshop,envelope,book_jacket,crib,tray,jigsaw_puzzle,safety_pin
book_jacket,puck,lens_cap,packet,computer_keyboard,screw,perfume,pick,loudspeaker
desktop_computer,mouse,computer_keyboard,monitor,screen,notebook,desk,joystick,space_bar
abaya,vestment,hair_spray,poncho,wig,mask,cloak,chain_mail,gown
book_jacket,jersey,web_site,brass,jean,cellular_telephone,stage,bulletproof_vest,comic_book
scorpion,caldron,book_jacket,fountain,matchstick,brass,wok,perfume,jellyfish
brassiere,trilobite,car_mirror,sundial,brass,book_jacket,jellyfish,mousetrap,plastic_bag
web_site,analog_clock,padlock,desk,carton,cornet,spotlight,electric_guitar,hair_spray
desk,medicine_chest,desktop_computer,altar,wall_clock,refrigerator,toaster,screen,mouse
suit,curly-coated_retriever,wool,stole,cardigan,notebook,miniskirt,studio_couch,projector
web_site,crossword_puzzle,envelope,quilt,Windsor_tie,menu,laptop,slot,sock
perfume,book_jacket,cellular_telephone,bubble,window_screen,stage,lab_coat,umbrella,web_site
loudspeaker,spider_web,book_jacket,cassette_player,caldron,modem,frying_pan,face_powder,wok
jersey,electric_guitar,hatchet,Band_Aid,pick,laptop,rifle,chain_saw,lighter
umbrella,artichoke,cardoon,church,balloon,theater_curtain,flute,whistle,picket_fence
bannister,fountain,web_site,envelope,cleaver,tub,laptop,shovel,plow
cleaver,chain_mail,hatchet,jean,bulletproof_vest,breastplate,chain_saw,assault_rifle,rifle
monitor,screen,jigsaw_puzzle,web_site,television,abacus,desk,entertainment_center,drilling_platform
maraca,sunglasses,bucket,balloon,perfume,hand_blower,hamper,pick,sax
suit,groom,oboe,bow_tie,Loafer,park_bench,web_site,cornet,jean
web_site,harp,bookshop,panpipe,desk,menu,book_jacket,carton,television
gown,groom,brassiere,hoopskirt,overskirt,feather_boa,bikini,pajama,miniskirt
washbasin,bathtub,tub,desk,paper_towel,dining_table,medicine_chest,table_lamp,soap_dispenser
web_site,brassiere,gown,overskirt,hoopskirt,lab_coat,stole,miniskirt,jean
analog_clock,spider_web,electric_fan,typewriter_keyboard,sundial,barn_spider,spotlight,book_jacket,barometer
analog_clock,typewriter_keyboard,combination_lock,scale,electric_fan,magnetic_compass,gong,sundial,spider_web
crossword_puzzle,oscilloscope,book_jacket,analog_clock,rule,computer_keyboard,remote_control,scoreboard,slide_rule
lab_coat,web_site,notebook,menu,binder,printer,crossword_puzzle,groom,desk
crossword_puzzle,sax,carton,remote_control,jersey,accordion,paper_towel,neck_brace,oboe
printer,miniskirt,cash_machine,photocopier,gown,lab_coat,stole,jean,brassiere
analog_clock,spider_web,electric_fan,typewriter_keyboard,spotlight,barn_spider,sundial,combination_lock,scale
groom,web_site,torch,bookshop,abaya,comic_book,projector,coffee_mug,desk
bubble,cornet,padlock,sax,electric_guitar,drum,slot,hair_spray,pick
electric_fan,spider_web,typewriter_keyboard,analog_clock,combination_lock,spotlight,gong,sundial,scale
bubble,padlock,cornet,hair_spray,stage,drum,electric_guitar,sax,comic_book
web_site,comic_book,analog_clock,menu,book_jacket,television,laptop,envelope,screen
web_site,lab_coat,harp,gown,menu,abaya,torch,panpipe,bannister
studio_couch,window_shade,notebook,carton,jean,laptop,seat_belt,window_screen,vacuum
jaguar,leopard,web_site,tiger_cat,cheetah,honeycomb,pajama,monitor,tiger
web_site,gown,cloak,jean,lab_coat,trench_coat,rule,hoopskirt,carton
web_site,notebook,laptop,computer_keyboard,space_bar,monitor,desktop_computer,desk,mouse
suit,bannister,prison,groom,jean,bow_tie,trench_coat,miniskirt,fur_coat
leatherback_turtle,sweatshirt,loggerhead,hand_blower,jersey,tub,barbershop,comic_book,pajama
laptop,wall_clock,envelope,analog_clock,scoreboard,web_site,book_jacket,jersey,comic_book
notebook,laptop,file,printer,monitor,screen,television,web_site,desk
web_site,groom,jean,hand_blower,clumber,notebook,Windsor_tie,envelope,gown
analog_clock,laptop,spatula,rule,letter_opener,envelope,wall_clock,dishwasher,pick
laptop,notebook,web_site,remote_control,iPod,envelope,cellular_telephone,hand-held_computer,printer
web_site,monitor,groom,gown,lab_coat,dishwasher,jean,television,pajama
laptop,notebook,cello,accordion,cellular_telephone,suit,vestment,harp,sax
desktop_computer,home_theater,monitor,entertainment_center,television,screen,desk,lampshade,table_lamp
desktop_computer,television,monitor,abaya,desk,screen,notebook,laptop,crutch
web_site,jean,groom,iron,Windsor_tie,abaya,lab_coat,menu,gown
spotlight,home_theater,cinema,theater_curtain,stage,monitor,projector,trailer_truck,screen
cinema,monitor,home_theater,television,screen,scoreboard,desktop_computer,stage,slot
desktop_computer,monitor,laptop,notebook,screen,space_bar,computer_keyboard,modem,remote_control
home_theater,desktop_computer,monitor,entertainment_center,desk,screen,mouse,computer_keyboard,joystick
television,monitor,web_site,screen,cash_machine,cellular_telephone,scoreboard,laptop,printer
desktop_computer,monitor,desk,screen,stage,laptop,notebook,mouse,television
desktop_computer,monitor,screen,desk,home_theater,laptop,computer_keyboard,notebook,television
home_theater,television,monitor,entertainment_center,screen,desk,desktop_computer,notebook,web_site
desktop_computer,desk,laptop,notebook,mouse,monitor,computer_keyboard,web_site,screen
monitor,desktop_computer,screen,desk,mouse,computer_keyboard,television,scoreboard,laptop
monitor,desktop_computer,screen,television,home_theater,garbage_truck,desk,mouse,computer_keyboard
desktop_computer,mouse,computer_keyboard,monitor,notebook,screen,joystick,laptop,space_bar
desktop_computer,monitor,desk,screen,mouse,television,computer_keyboard,home_theater,notebook
hoopskirt,bikini,gown,swing,overskirt,groom,brassiere,maillot,miniskirt
home_theater,television,entertainment_center,projector,monitor,cinema,window_shade,screen,desktop_computer
home_theater,television,desktop_computer,monitor,entertainment_center,desk,screen,jigsaw_puzzle,iPod
notebook,monitor,screen,desk,home_theater,hard_disc,laptop,television,tape_player
monitor,television,screen,slot,desktop_computer,home_theater,web_site,wall_clock,printer
desktop_computer,laptop,notebook,monitor,screen,modem,web_site,desk,computer_keyboard
television,tub,studio_couch,window_shade,groom,bathtub,screen,jigsaw_puzzle,window_screen
park_bench,sundial,missile,forklift,shopping_cart,solar_dish,sandbar,lakeside,mailbox
desktop_computer,monitor,desk,screen,mouse,computer_keyboard,television,home_theater,joystick
abaya,cellular_telephone,scoreboard,fur_coat,web_site,television,desktop_computer,monitor,carton
dining_table,laptop,notebook,desk,binder,studio_couch,toilet_seat,washbasin,folding_chair
refrigerator,desk,projector,desktop_computer,oscilloscope,sewing_machine,dishwasher,microwave,screen
monitor,jigsaw_puzzle,toyshop,comic_book,scoreboard,laptop,stage,web_site,television
joystick,sombrero,iron,vacuum,sundial,sunglasses,spotlight,fountain,car_mirror
abacus,mouse,computer_keyboard,desktop_computer,remote_control,desk,laptop,joystick,matchstick
monitor,notebook,laptop,web_site,desktop_computer,screen,television,computer_keyboard,cash_machine
digital_clock,analog_clock,digital_watch,stopwatch,oscilloscope,spotlight,bannister,computer_keyboard,odometer
flute,gasmask,oxygen_mask,oboe,trombone,sax,bassoon,microphone,laptop
digital_watch,traffic_light,gasmask,oscilloscope,digital_clock,stopwatch,brassiere,mask,spotlight
tabby,Egyptian_cat,tiger_cat,lynx,miniature_schnauzer,Cardigan,plastic_bag,bucket,pinwheel
digital_clock,oscilloscope,spotlight,analog_clock,bannister,window_shade,digital_watch,screen,television
amphibian,canoe,trimaran,wreck,seashore,lakeside,catamaran,grey_whale,paddle
modem,radio,vase,remote_control,switch,ashcan,safe,pot,washbasin
gasmask,mask,ski_mask,oxygen_mask,snorkel,muzzle,water_bottle,abaya,crash_helmet
book_jacket,jersey,street_sign,alp,traffic_light,scoreboard,maze,comic_book,brass
pick,jersey,bib,wok,Band_Aid,comic_book,mouse,tray,sock
gasmask,oxygen_mask,snorkel,scuba_diver,laptop,flute,lab_coat,sunglasses,bow_tie
oscilloscope,digital_clock,analog_clock,magnetic_compass,spotlight,odometer,digital_watch,electric_fan,projector
digital_clock,analog_clock,oscilloscope,digital_watch,spotlight,odometer,stopwatch,window_shade,bannister
computer_keyboard,space_bar,mouse,typewriter_keyboard,laptop,notebook,abacus,modem,remote_control
desk,television,desktop_computer,file,screen,bookcase,barber_chair,monitor,radio
home_theater,projector,space_heater,screen,monitor,traffic_light,fire_screen,loudspeaker,microwave
mouse,sandal,clog,cellular_telephone,backpack,Loafer,bib,mailbag,wall_clock
radio,switch,modem,remote_control,combination_lock,cellular_telephone,joystick,dial_telephone,magnetic_compass
cowboy_hat,gasmask,sombrero,revolver,harmonica,oxygen_mask,ski_mask,mask,microphone
monitor,television,web_site,screen,home_theater,digital_clock,analog_clock,book_jacket,iPod
notebook,laptop,library,bookshop,desk,bookcase,lab_coat,comic_book,desktop_computer
coffee_mug,cup,hair_spray,lighter,water_bottle,lotion,microphone,water_jug,perfume
Polaroid_camera,cellular_telephone,reflex_camera,sunglasses,cup,coffee_mug,sunglass,web_site,menu
lighter,padlock,corkscrew,hook,soap_dispenser,chain,perfume,pencil_sharpener,washbasin
desk,rocking_chair,sewing_machine,crib,television,wardrobe,studio_couch,barber_chair,bookcase
sewing_machine,dumbbell,tripod,joystick,stretcher,ski,knee_pad,rifle,power_drill
backpack,abaya,wall_clock,throne,bulletproof_vest,dumbbell,electric_guitar,rocking_chair,web_site
laptop,loudspeaker,desk,desktop_computer,file,radio,iPod,reflex_camera,notebook
bulletproof_vest,military_uniform,joystick,knee_pad,backpack,web_site,dumbbell,grand_piano,abaya
punching_bag,joystick,microphone,power_drill,stage,dumbbell,monitor,sombrero,cowboy_hat
barber_chair,desk,desktop_computer,dining_table,monitor,rocking_chair,grand_piano,screen,barbershop
ski_mask,bulletproof_vest,backpack,knee_pad,abaya,carpenter's_kit,sweatshirt,notebook,seat_belt
bath_towel,bib,carton,sweatshirt,poncho,cardigan,brassiere,wool,sock
punching_bag,rocking_chair,barbell,remote_control,throne,dumbbell,dalmatian,paper_towel,maillot
sewing_machine,espresso_maker,barber_chair,spotlight,barbershop,dalmatian,paper_towel,grand_piano,drum
projector,sewing_machine,pay-phone,television,scale,dial_telephone,upright,spotlight,iron
web_site,barber_chair,monitor,television,grand_piano,joystick,organ,home_theater,hand_blower
desk,barber_chair,sewing_machine,barbershop,rocking_chair,upright,grand_piano,accordion,joystick
rocking_chair,barber_chair,grand_piano,throne,toilet_seat,studio_couch,upright,stove,television
warplane,military_uniform,aircraft_carrier,stretcher,drum,throne,steam_locomotive,barbell,cannon
comic_book,electric_guitar,joystick,bulletproof_vest,jersey,backpack,breastplate,military_uniform,carpenter's_kit
jersey,mousetrap,screw,web_site,barbershop,electric_guitar,comic_book,football_helmet,stopwatch
notebook,seat_belt,laptop,cellular_telephone,monitor,hand-held_computer,sunglass,sunglasses,bathing_cap
desk,grand_piano,barber_chair,television,rocking_chair,studio_couch,sewing_machine,file,throne
freight_car,barbell,screwdriver,dumbbell,bathing_cap,carpenter's_kit,stretcher,aircraft_carrier,military_uniform
tripod,grand_piano,military_uniform,barber_chair,dial_telephone,joystick,pay-phone,desk,microphone
grand_piano,upright,barber_chair,throne,television,four-poster,breastplate,barbershop,rocking_chair
minivan,golfcart,cab,Model_T,patio,web_site,lawn_mower,convertible,binoculars
notebook,mouse,computer_keyboard,laptop,desk,desktop_computer,web_site,remote_control,cellular_telephone
desktop_computer,loudspeaker,monitor,printer,radio,screen,notebook,CD_player,tape_player
warplane,aircraft_carrier,projectile,missile,military_uniform,cannon,stretcher,steam_locomotive,wing
throne,abaya,seat_belt,jersey,barbershop,barber_chair,traffic_light,web_site,shoe_shop
lampshade,table_lamp,vestment,abaya,apron,handkerchief,perfume,kimono,binder
notebook,dining_table,perfume,toaster,desk,loudspeaker,iPod,home_theater,radio
reflex_camera,joystick,desktop_computer,radio,web_site,screen,tripod,monitor,notebook
throne,military_uniform,bearskin,drum,breastplate,jinrikisha,backpack,electric_guitar,marimba
desk,desktop_computer,radio,barber_chair,modem,monitor,web_site,folding_chair,loudspeaker
bulletproof_vest,grand_piano,desk,electric_guitar,maillot,barber_chair,television,desktop_computer,slot
barber_chair,potter's_wheel,drum,grand_piano,desk,barbell,marimba,steel_drum,upright
breastplate,shield,gong,chain_mail,dial_telephone,safe,stage,suit,jersey
chain_saw,microphone,harmonica,scabbard,seat_belt,lighter,street_sign,hand_blower,lipstick
Christmas_stocking,throne,lampshade,rocking_chair,barber_chair,bakery,table_lamp,spatula,altar
car_mirror,digital_watch,purse,seat_belt,stopwatch,backpack,cellular_telephone,odometer,monitor
ashcan,freight_car,parking_meter,drum,scuba_diver,barber_chair,desktop_computer,pay-phone,safe
altar,stage,book_jacket,steam_locomotive,web_site,vestment,church,abaya,Indian_elephant
projectile,hand_blower,missile,microphone,spotlight,web_site,space_shuttle,lipstick,airship
abaya,web_site,jersey,stage,perfume,throne,sweatshirt,packet,vestment
dumbbell,screwdriver,barbell,can_opener,corkscrew,picket_fence,scabbard,carpenter's_kit,rocking_chair
home_theater,monitor,screen,barber_chair,television,desktop_computer,stage,loudspeaker,desk
sandal,Loafer,face_powder,lens_cap,binoculars,rugby_ball,mouse,loupe,clog
web_site,space_shuttle,monitor,spotlight,screen,breastplate,television,bulletproof_vest,space_bar
grand_piano,barber_chair,bulletproof_vest,barbershop,television,home_theater,throne,violin,rifle
barber_chair,Christmas_stocking,rocking_chair,barbershop,file,desk,tub,toilet_seat,refrigerator
television,monitor,home_theater,parallel_bars,laptop,screen,neck_brace,notebook,CD_player
barber_chair,rocking_chair,grand_piano,dining_table,desk,electric_guitar,sewing_machine,throne,stove
barber_chair,drum,grand_piano,freight_car,throne,barbershop,desk,stage,rocking_chair
barber_chair,entertainment_center,television,studio_couch,home_theater,notebook,desktop_computer,rocking_chair,barbershop
desk,television,desktop_computer,screen,monitor,upright,grand_piano,joystick,notebook
radio,projector,desktop_computer,Polaroid_camera,reflex_camera,monitor,desk,screen,loudspeaker
projector,sewing_machine,pay-phone,television,scale,dial_telephone,upright,barber_chair,microphone
desktop_computer,CD_player,television,desk,rocking_chair,printer,home_theater,computer_keyboard,projector
shoe_shop,home_theater,stage,desktop_computer,sewing_machine,monitor,pool_table,joystick,projector
notebook,printer,laptop,desktop_computer,projector,photocopier,file,screen,monitor
computer_keyboard,desktop_computer,monitor,television,mouse,web_site,space_bar,notebook,screen
notebook,laptop,electric_guitar,loudspeaker,military_uniform,cornet,stage,rifle,violin
desktop_computer,file,desk,barber_chair,screen,monitor,laptop,electric_guitar,mouse
desktop_computer,desk,file,notebook,screen,monitor,laptop,mouse,projector
throne,home_theater,barber_chair,rocking_chair,stage,fountain,harp,breastplate,television
stretcher,grand_piano,dumbbell,sewing_machine,barber_chair,bicycle-built-for-two,barbell,rocking_chair,pool_table
electric_guitar,grand_piano,joystick,drum,barbershop,switch,typewriter_keyboard,microphone,barber_chair
oscilloscope,monitor,screen,web_site,envelope,laptop,cash_machine,book_jacket,joystick
barber_chair,desk,desktop_computer,sewing_machine,home_theater,rocking_chair,bookcase,dining_table,barbershop
abacus,electric_guitar,stage,drumstick,joystick,computer_keyboard,mouse,remote_control,marimba
studio_couch,desk,quilt,rocking_chair,sewing_machine,television,bookcase,china_cabinet,refrigerator
military_uniform,warplane,aircraft_carrier,throne,drum,steam_locomotive,submarine,bulletproof_vest,backpack
monitor,desktop_computer,desk,home_theater,barber_chair,modem,grand_piano,joystick,screen
desk,CD_player,sewing_machine,hair_slide,sandal,buckle,rifle,pencil_box,rule
web_site,abaya,throne,lipstick,remote_control,book_jacket,iron,matchstick,kimono
home_theater,television,screen,desktop_computer,monitor,slot,loudspeaker,entertainment_center,joystick
web_site,syringe,wall_clock,spotlight,brassiere,hair_slide,kimono,rule,padlock
perfume,lipstick,seat_belt,purse,abaya,backpack,stopwatch,cellular_telephone,binder
steam_locomotive,mailbox,safe,stage,pay-phone,throne,barbershop,projector,web_site
web_site,seat_belt,microphone,throne,dial_telephone,gasmask,bulletproof_vest,maillot,spotlight
scuba_diver,sandal,comic_book,bulletproof_vest,electric_guitar,drum,stage,bicycle-built-for-two,knee_pad
home_theater,monitor,screen,television,desktop_computer,racer,desk,motor_scooter,slot
comic_book,jersey,sweatshirt,packet,book_jacket,pick,laptop,binder,can_opener
barber_chair,throne,desk,rocking_chair,barbershop,abaya,joystick,traffic_light,web_site
bathtub,tub,washbasin,ski,sewing_machine,carton,soap_dispenser,toilet_seat,warplane
hand_blower,chain_saw,iron,power_drill,electric_guitar,can_opener,motor_scooter,neck_brace,joystick
stage,electric_guitar,drum,shoe_shop,ashcan,scuba_diver,maillot,accordion,unicycle
envelope,packet,wallet,mailbox,carton,web_site,hard_disc,matchstick,jean
desktop_computer,computer_keyboard,notebook,mouse,monitor,television,radio,screen,desk
sock,electric_guitar,microphone,ski,jersey,hook,running_shoe,binoculars,hatchet
joystick,analog_clock,screw,wall_clock,drum,desk,microphone,electric_guitar,dining_table
notebook,laptop,monitor,desktop_computer,computer_keyboard,mouse,screen,hand-held_computer,web_site
grand_piano,upright,barber_chair,web_site,shoe_shop,desk,organ,throne,home_theater
slot,throne,shoe_shop,stage,desktop_computer,spotlight,rocking_chair,barber_chair,monitor
running_shoe,sock,electric_guitar,comic_book,sandal,knee_pad,space_shuttle,shoe_shop,packet
electric_guitar,rocking_chair,comic_book,jersey,analog_clock,bulletproof_vest,sweatshirt,wall_clock,binder
hard_disc,laptop,desk,desktop_computer,notebook,monitor,home_theater,projector,CD_player
monitor,desktop_computer,CD_player,radio,television,home_theater,screen,computer_keyboard,desk
spotlight,bannister,bathtub,fountain,web_site,church,digital_clock,seat_belt,book_jacket
projector,television,printer,monitor,home_theater,dumbbell,photocopier,laptop,space_bar
Polaroid_camera,espresso_maker,sewing_machine,joystick,pencil_sharpener,tripod,projector,screw,binoculars
web_site,desk,monitor,digital_clock,screen,umbrella,book_jacket,desktop_computer,bannister
turnstile,pool_table,web_site,television,dining_table,upright,pole,parallel_bars,bannister
rule,guillotine,digital_clock,bannister,crane,CD_player,balance_beam,projectile,paddlewheel
rocking_chair,barber_chair,Christmas_stocking,dining_table,china_cabinet,entertainment_center,studio_couch,desk,toyshop
web_site,pencil_box,carton,pillow,packet,envelope,cash_machine,mouse,jersey
wall_clock,drum,stopwatch,shopping_cart,analog_clock,backpack,digital_clock,ski,electric_guitar
bulletproof_vest,web_site,snowmobile,backpack,projectile,radio,loudspeaker,knee_pad,computer_keyboard
web_site,menu,envelope,bubble,loupe,spider_web,barometer,car_mirror,monitor
bulletproof_vest,military_uniform,rifle,stretcher,backpack,warplane,assault_rifle,projectile,knee_pad
